feature	X1f9695def389854178788b2e4a8792ee	Xd3f1d99ffce8ccadfd2ee75f7b86b0c5	X79a123f051e7c2965a46226b1d95246e	X84311c29ab5cf09c0720c450dc7c1a43	Xd926c5000a193dc8473f190e75b9fcd0	Xd039ffee9e93545befc0b24c6b1adb8a	X630532cabb74720c1204579e6fe741b4	Xd4dcc0bc5f5a6e517ddf472187dbc2e7	Xfc4575c432e5f43c1eaf202f1c5816c4	Xcbd66fa79a3e7fa1c33d29ed908de048	Xa81bf36dba92ea8defbda21f3633f8fe	X860a5e9ee39ccb39131b57de03fb5bf8	X9c19eb9efc671777c92ee43ca21be172	Xfc2bf17d11280ea7e498670124f07400	X1a9b1bbd7d800a46e40664e26298b33b	Xcb645d9e303b0e2d761969abb610d210	X2487d88c9966a6b0e2b87711d51811a8	X4c089330a0f8ccdd7dd92492808e9247	X9f05e4992392a05c38e1c790e07f3e5c	Xa49ea569715664c78018691088f7aaac	X855166a7ea9905b7590e5e5fb7da7866	X5b73138c8555560a7cd45cb7bd7ca6da	X7888dc681f2841bbc77d1f456dbda3d9	X960b9cea75175246a62496526868a249	X74fafaec802530941890c1f49dfbf3e4	X9228756628ca33af7e8809e0968c79f8	X6f0b4058c92e83c77533a218739a0e38	Xc43bbd203d077ba15c26090580d64d32	X40f29bc827ddfc03d7fb5b76fb311557	Xc44642d31840ae8b6896c0bc0f5a8802	X18f3b811ae49dad2e01b20f5f39d10a7	Xa3d1f4355f204d4d49ad2bea3b801265	X93f6e99ff381954b541d29cc24c2be7c	Xa0ac269acfcd16c66700762ee6340b07	X68ee03666c1dd76a9a1ca298d04bc99e	X8ac938c2111c4dea67b9a99a3f7900bc	X8c3c2cadc6f0966f44b3f2371d81abd3	Xc00514d54b15725f03c323c54796a7c0	X9d7e2f75c0754a3aaf6bf21a479a0046	X1941bdf9450a85f4069a80e526137af7	Xce7e172e3d64bc42dddb2f4aa26e3a03	Xfbbeae3dceada6928b2cdc472f5d9901	X1131f697b19dc061094f3b846b9f66a0	X94adac1e5690b5aef26d6014e471f458	Xc2f27e09022e99cda9f6629948f66252	X2a7ee151e83dbc4a4ac13f84a434c8c7	X3d846e34d0ebbaa6096f5b1e5e8afa03	X194d511e554b455dac7747ef6442339f	X19563b70bb3469c665c888e4685e7f99	X0bc4e35da130d9cb9fc1090c80011153	X988ee95161bcfd6129fddab0fda16d68	X970d6f0c54e1e999cbdcdefc80299e2b	X86b5603a79c587d59312beef52df3409	X9d2a55480c1cd54eacfb0243d4562261	Xf3e1ff3be3a6f13f24666ea97d99cd0b	X9c804f3d76b861e98e017e380f2f04df	X7bf7ea59cac793e65c0bc293eabf44dc	X5fe7ab4157717cdcf56706e5c043b959	X85c51ab58e3beec0355a935d17f0758e	X47837e1a0b06f78d52ce1faf831fec84	X76214bb13d1e7d69ca2f7827e3ac12e2	Xa0f9d2150e3f8419a6ade2e296eafb5f	Xa55f549b9a40506a070a2fb7e8ca0726	X3d514b698192fb4c2a0445c3498b2cfb	X1daf7490935642942f91e007dfefa7e9	X1e10ca4ce57e3019886b4f75360a76fa	Xe52994cd67774b8f72113d04a0b2c493	X77be5efca77e4204775e4e828a1580db	X00dcba6e262a3194c68f52e6af48a071	Xec65ab01e974afdd946f7c025b3ceba5	X7d0ccb9242c92ba67eae0552bf7c6f94	X970c4c927d69ee41accb2c1a29f9a023	Xe8d0f444dc3a43708bc843fd8472b381	X0b3590ab4de6582222af6f3565ceca0c	X269fea3886e14ab0acb08ade901906fd	X278651ccb0f0d07cd2ab0837262dfc39	X84b17f815f1e8767da103f96068901ec	X1300fb2208dcbb54d400995de3bc2eaa	X7ba07d9f4e22c332b04d5646fe2ea051	Xecb427bf4473bf2f3205b06132125d07	Xc5a684b3dfddaa1e68d4563ea771ed15	Xf9fecdd58f0cedd3463e687ffd85ef48	X5c7f516ff4d244a8f63e883a44267f20	Xa965d63a2b3f783b281a48f774847f29	X80a9a51ced500bf3bfbca440e0971948	X0029d1a452fe37b0ff76a9c1da5ccf21	X059d6e79cba765d062053442b8ada21c	X1d25e5714547bb8a8f93b8364d36889e	Xc71265e180d7e06bd350017b893ea44a	X264be41ad2f4137d7cd5fefe393e1b92	X61d6589645d112c45ea0478e6445fa34	X6e373fe39ea68760cf9b2bf171476a55	X182071d231a63cae957730240a214721	Xde021ed367003d69832c2a5461985f38	Xc6b61011752152bbbc32003f5d0c5398	X6ca83bb8d84d22ff21607c96e42f4295	Xdc04cb67b3295173275e20a8a7a3d16a	Xdd887bed9045e6e59c223bf9074e8f71	X7a6db5f059c69a310d7c97e1b488fe74	X96c7cedbae877361d087a8b39206d408	X86486b103104c344caa9a990b454797c	X0b2e7a7da00f71987193e385a9a4a4d1	X57188cc28844564b611d3dd0d6e30de7	X76aa915543cd876d620ebeafeb9fd767	X570cad8230542ad8f2c032a719120bee	Xc6faae06a70c97500e4f329b617e70b7	X9f185911874fb5d5b2623b647359f33b	X4661cd41d2df6a4bf70276894e6cc779	Xe0565865ef72ba498c2938b247ff36dc	X94a45fbb634a4ae23f34d8160d95c8b7	Xf3270b7f9b020567e59ec30f7d15fc14	X9f79ff73dcbc3e304545d60cdbbca33b	X6be7c1afdd690efab2c28453f0d304da	Xa75f6c6ef715f88994d61a440132c65b	X959a41695798ad7798d39740d7e9ae19	X4c8288bfbd76958c0c094d87b97650f8	X4a21bd45b5ff48f40bbcadf6930fc3ee	Xf857e38c09d5f11ed7357057fffcc3a0	X327e928d80b137060bd55c0515d64b2a	Xede2e1cdf233330f3e67603862d90fd5	X2132a94c12039eca49c517950714e48a	X5d1a7a11e80c627fbc98743087f309f0	X64d94620fe0f5db1cd211f24f6a6d659	Xf247c06edb93b0f02277e395b87328aa	Xa9625534f57e5ed4661782588cc20467	Xff241ad98176a2c70cdb70878176ca2e	Xac4a57c0c6ca41f976c5c914e25ed371	X76d6be90e19a660c9a84b35fa31d801c	X1703aefcb845a13faff8f80ea8265820
F1195	0	0	0.000937280324923846	0.000234320081230961	0	0	0	0.00484261501210654	0.000937280324923846	0.00257752089354058	0	0	0	0	0	0	0	0	0	0	0	0	0.00257752089354058	0	0.00249941419979692	0	0.00499882839959385	0	0	0.00164024056861673	0	0	0	0	0.0118722174490354	0	0	0.00257752089354058	0.002030774037335	0.00437397484964461	0	0	0	0	0.000156213387487308	0	0.0120284308365227	0	0	0.00296805436225885	0	0.000702960243692884	0.00179645395610404	0	0	0.00117160040615481	0	0.00218698742482231	0.00109349371241115	0.00164024056861673	0.00343669452472077	0	0.746699992189331	0.00117160040615481	0	0	0	0	0.00195266734359135	0.000312426774974615	0.000312426774974615	0	0.000312426774974615	0	0	0	0.000781066937436538	0.00460829493087558	0	0	0.00851362961805827	0	0	0	0	0	0.000624853549949231	0.000312426774974615	0	0	0	0.00109349371241115	0	0.000624853549949231	0.00726392251815981	0	0	0	0	0.0945872061235648	0.000468640162461923	0.000702960243692884	0	0.00499882839959385	0	0.00687338904944154	0	0	0	0.00117160040615481	0	0	0.00242130750605327	0.00148402718112942	0.00288994766851519	0	0.0132000312426775	0	0.000234320081230961	0	0	0.00843552292431461	0	0.00132781379364212	0	0	0	0.0173396860110911	0
F1256	0	0.00495516753185465	0.00613496932515337	0	0.000943841434638981	0.000707881075979236	0	0.0718892559383357	0.000629227623092654	0	0	0.00338209847412301	0.000550574170206072	0.000235960358659745	0.00220229668082429	0	0.000707881075979236	0.00605631587226679	0.000943841434638981	0.0201352839389649	0.00149441560484505	0.000629227623092654	0.055843951549473	0.00125845524618531	0	0.000943841434638981	0.019742016674532	0.00141576215195847	0.00141576215195847	0.00235960358659745	0.00534843479628756	0	0	0.00125845524618531	0	0	0.00133710869907189	0.000943841434638981	0.000629227623092654	0.0328771433065912	0.00676419694824603	0.041371716218342	0.000235960358659745	0	0.000550574170206072	0	0.0155733836715432	0.00047192071731949	0.000550574170206072	0.0927324209532799	0.00188768286927796	0.0122699386503067	0.00582035551360705	0	0.00228095013371087	0	0.00220229668082429	0.00235960358659745	0.00700015730690577	0.00550574170206072	0.0124272455560799	0.0154947302186566	0	0.00306748466257669	0.00479786062608148	0.000314613811546327	0.00047192071731949	0.000393267264432909	0.00967437470504955	0.00456190026742174	0.000629227623092654	0	0.00794399874154475	0.000629227623092654	0	0.0360232814220544	0.00330344502123643	0.00589900896649363	0	0	0.0192700959572125	0	0	0.00597766241938021	0	0	0.0282365895862828	0.00857322636463741	0.00243825703948403	0	0.000314613811546327	0.0435740128991663	0	0.00125845524618531	0	0	0.000314613811546327	0.00102249488752556	0.00755073147711185	0.022180273714016	0	0	0.0112474437627812	0.0207645115620576	0	0	0	0	0	0	0	0.00196633632216454	0.0157306905773163	0.0783388390750354	0.00188768286927796	0.00621362277803996	0.0162812647475224	0.00133710869907189	0.000629227623092654	0	0	0.00306748466257669	0	0.00707881075979235	0.000235960358659745	0.0025955639452572	0.000629227623092654	0.13898065125059	0.00212364322793771
F1257	0.000664716830630152	0	0.0114331294868386	0.0309758043073651	0	0	0	0.00465301781441106	0	0.0372241425152885	0	0	0	0	0	0	0.00279181068864664	0.000797660196756182	0	0	0	0	0.00252592395639458	0.00226003722414252	0	0	0.00239298059026855	0.00119649029513427	0	0.00598245147567136	0.00252592395639458	0	0.00212709385801649	0	0	0.000930603562882212	0.00239298059026855	0	0.00252592395639458	0.0151555437383675	0.00518479127891518	0.0118319595852167	0	0.000797660196756182	0	0	0.0385535761765488	0	0	0.0287157670832225	0	0	0.00385535761765488	0	0.0128955065142249	0	0.134405743153417	0.00505184791278915	0	0	0	0.0933262430204733	0.145440042541877	0.0013294336612603	0.00226003722414252	0.000531773464504121	0.000531773464504121	0.00664716830630152	0	0.00186120712576442	0	0	0.0240627492688115	0	0	0.0013294336612603	0	0	0	0	0.00584950810954533	0	0	0	0	0	0	0.0171496942302579	0.00279181068864664	0	0	0	0	0.00159532039351236	0	0.000265886732252061	0	0	0.00119649029513427	0.0265886732252061	0.00159532039351236	0.000797660196756182	0	0.0784365860143579	0	0.0232650890720553	0	0	0	0	0	0.000531773464504121	0	0.00731188513693167	0	0.00784365860143579	0.0297793140122308	0	0	0	0	0.00864131879819197	0.000930603562882212	0	0	0	0	0.138261100771072	0
F1262	0	0.00174532761253727	0.00567231474074613	0	0	0.00130899570940295	0	0.00945385790124355	0	0	0	0	0.000218165951567159	0.000727219838557196	0.00138171769325867	0	0	0.00181804959639299	0.00101810777398007	0.0044360410151989	0.00174532761253727	0.000363609919278598	0.0346156643153225	0.0179623300123627	0	0	0.0185441058832085	0.000654497854701476	0.00232710348338303	0.0118536833684823	0	0	0	0.000290887935422878	0	0.000799941822412915	0.00196349356410443	0.00276343538651734	0.00472692895062177	0.0328703367027853	0	0.0437059122972875	0.000509053886990037	0	0	0	0.0181804959639299	0.000363609919278598	0.00276343538651734	0.062759072067486	0	0	0.00327248927350738	0	0.00378154316049742	0.00225438149952731	0	0.0151988946258454	0.000727219838557196	0.00501781688604465	0.0104719656752236	0	0.000945385790124355	0	0	0	0.00101810777398007	0	0.00494509490218893	0	0.000581775870845757	0	0	0	0	0.0026179914188059	0.00516326085375609	0.00858119409497491	0	0	0.0266162460911934	0	0.00130899570940295	0.000363609919278598	0	0	0.0226892589629845	0	0.00589048069231329	0	0	0	0	0.00901752599810923	0.00363609919278598	0	0	0	0	0.070540324340048	0.00836302814340775	0.000654497854701476	0	0	0	0	0	0	0.000872663806268635	0.00159988364482583	0	0	0.0401425350883572	0.0199258235764672	0	0.00770853028870628	0.0112719074976365	0	0	0.000363609919278598	0	0.00727219838557196	0.000581775870845757	0.00305432332194022	0	0.00247254745109447	0	0.403534288415388	0
F1282	0	0.00067389985848103	0.0068737785565065	0	0	0.00249342947637981	0	0	0.00114562975941775	0	0	0	0	0.000269559943392412	0.000202169957544309	0	0	0.000269559943392412	0.00181952961789878	0	0.000471729900936721	0	0.00707594851405081	0	0	0	0.0326841431363299	0.000134779971696206	0.00559336882539255	0.00438034908012669	0.00727811847159512	0	0	0	0	0.000808679830177236	0	0	0.00377383920749377	0.00761506840083564	0	0.0090976480894939	0	0	0	0	0	0	0.00316732933486084	0.0229799851742031	0	0	0.00586292876878496	0	0.00303254936316463	0.00512163892445583	0	0	0	0.00640204865556978	0.0126693173394434	0.0118606375092661	0	0.00148257968865827	0.004582519037671	0.000269559943392412	0	0.00336949929240515	0.000741289844329133	0	0.00107823977356965	0	0.00181952961789878	0	0	0	0	0.0232495451175955	0	0	0	0	0	0	0.000134779971696206	0.00154996967450637	0	0.042523081070153	0	0	0	0	0	0.00107823977356965	0	0	0	0	0	0.206213356695195	0.00390861917918997	0.00256081946222791	0	0.0623357369094952	0	0	0	0	0	0.00768245838668374	0	0	0	0.00067389985848103	0	0.00721072848574702	0.023586495046836	0.000471729900936721	0	0.000269559943392412	0	0.00525641889615203	0.00397600916503808	0.00188691960374688	0.000404339915088618	0.00276298941977222	0.00154996967450637	0.423613451041175	0
F1290	0	0.000851900393184797	0.0122542595019659	0	0.000786369593709043	0.00144167758846658	0	0	0	0	0	0	0.000786369593709043	0	0	0.000131061598951507	0	0.00471821756225426	0.0026867627785059	0	0.000589777195281782	0	0.00255570117955439	0	0	0	0.0376802096985583	0	0.00484927916120577	0.0142857142857143	0.00327653997378768	0	0	0.000589777195281782	0	0	0.00072083879423329	0	0.0518348623853211	0.00589777195281782	0	0.0290956749672346	0.000524246395806029	0	0	0	0.0368283093053735	0.000589777195281782	0.0063564875491481	0.168545216251638	0	0	0.00773263433813893	0	0.00150720838794233	0.00439056356487549	0	0.00111402359108781	0.000327653997378768	0.00570117955439056	0.0187418086500655	0.00196592398427261	0.000589777195281782	0.00157273918741809	0.00216251638269987	0	0.000196592398427261	0.000196592398427261	0.00386631716906946	0	0.000655307994757536	0	0	0	0	0	0.0028178243774574	0.0325032765399738	0	0	0	0	0.000196592398427261	0	0.00104849279161206	0	0	0.0509174311926606	0	0	0	0	0	0.00288335517693316	0	0	0	0	0.00235910878112713	0.0379423328964613	0.004521625163827	0.00235910878112713	0	0.013564875491481	0.00190039318479685	0	0	0	0	0.0081913499344692	0	0	0.0132372214941022	0.0073394495412844	0	0.000327653997378768	0.0639580602883355	0	0	0	0	0.0437090432503277	0	0.00262123197903014	0.00072083879423329	0.00779816513761468	0.0173656618610747	0.243119266055046	0
F1320	0	0.00392120250210064	0.00784240500420129	0.00289422089440762	0	0	0	0.00868266268322286	0.000653533750350107	0	0	0	0.00709550928951545	0	0.000746895714685837	0	0	0.000373447857342919	0	0	0.000466809821678648	0	0.0101764541125945	0.0137242087573523	0	0	0.0215666137615535	0.0214732517972178	0.00298758285874335	0.00877602464755859	0.00196060125105032	0	0	0	0	0.000186723928671459	0	0	0.000933619643357296	0.0991504061245449	0.0147511903650453	0.313136028382037	0.00140042946503594	0.00401456446643637	0	0	0.0245541966202969	0	0	0.0110167117916161	0	0	0.00485482214545794	0	0.00205396321538605	0	0.0399589207356923	0.00858930071888712	0	0.0041079264307721	0.0025207730370647	0.0638595836056391	0.00326766875175054	0.000933619643357296	0.00466809821678648	0	0.0015871533937074	0	0.00364111660909346	0	0	0.0222201475119037	0.0303426384091121	0	0	0.00149379142937167	0	0.0169918775091028	0	0	0.00560171786014378	0	0	0	0	0	0	0	0	0	0.000653533750350107	0.003454392680422	0	0.00196060125105032	0	0	0	0.00102698160769303	0.032116515731491	0.00784240500420129	0.00541499393147232	0.00233404910839324	0	0.0489216693119223	0	0.00102698160769303	0	0	0.00130706750070021	0.00644197553916534	0	0	0.000840257679021567	0.000933619643357296	0.0015871533937074	0	0.0128839510783307	0.00242741107272897	0.000466809821678648	0.000840257679021567	0	0.00177387732237886	0.00130706750070021	0	0	0	0	0.065260013070675	0
F1385	0	0.0078125	0.00963184931506849	0	0	0	0.000428082191780822	0.00749143835616438	0	0	0	0	0	0.000749143835616438	0	0	0	0.000321061643835616	0.000321061643835616	0.0057791095890411	0.00449486301369863	0	0.0180864726027397	0	0	0	0.0117722602739726	0.00181934931506849	0.00363869863013699	0.0038527397260274	0.00278253424657534	0	0	0	0	0	0.00353167808219178	0	0.00128424657534247	0.00256849315068493	0.00663527397260274	0.0394905821917808	0	0	0	0	0.0475171232876712	0	0.0038527397260274	0.0293236301369863	0	0.000749143835616438	0.00107020547945205	0	0.00567208904109589	0	0	0.00481592465753425	0.0038527397260274	0.00256849315068493	0.000642123287671233	0.0108090753424658	0.00149828767123288	0.00417380136986301	0.00128424657534247	0	0	0.00363869863013699	0.00149828767123288	0	0	0	0.0904323630136986	0	0	0.00214041095890411	0.00160530821917808	0.0134845890410959	0.000749143835616438	0	0.0128424657534247	0	0	0.0299657534246575	0	0	0.0223672945205479	0.00620719178082192	0	0	0	0.00727739726027397	0.000963184931506849	0.00181934931506849	0	0	0	0.000749143835616438	0.00224743150684931	0.00299657534246575	0.0020333904109589	0.0020333904109589	0	0.034353595890411	0.00299657534246575	0	0	0	0	0	0	0	0.0545804794520548	0.0173373287671233	0.00567208904109589	0.011451198630137	0.0592893835616438	0	0	0.000321061643835616	0	0.0461258561643836	0.000749143835616438	0.031785102739726	0.00149828767123288	0.000749143835616438	0	0.277718321917808	0
F1413	0.000524338023245652	0.0148562439919602	0.00410731451542428	0	0	0.00349558682163768	0	0.0177401031198112	0.000262169011622826	0	0	0	0.0010486760464913	0.000524338023245652	0	0	0	0.000262169011622826	0.00524338023245652	0.00655422529057065	0.00200996242244167	0	0.0141571266276326	0	0.000786507034868479	0	0.0157301406973696	0.00174779341081884	0.00524338023245652	0.000611727693786594	0.00218474176352355	0	0	0.00113606571703225	0	0	0	0.000611727693786594	0.00262169011622826	0.00367036616271957	0.00209735209298261	0.140347810888753	0	0.000873896705409421	0	0	0.021060910600367	0.000873896705409421	0.0010486760464913	0.034693699204754	0	0	0.00174779341081884	0	0.0010486760464913	0	0	0.00314602813947391	0.0190509481779254	0.00113606571703225	0.006029887267325	0.00297124879839203	0.00725334265489819	0.000961286375950363	0.000262169011622826	0	0	0	0.00821462903084855	0	0.000961286375950363	0.000611727693786594	0.0473652014331906	0	0	0.00174779341081884	0.0206239622476623	0.000786507034868479	0	0	0.0145940749803373	0.000873896705409421	0.000524338023245652	0.0143319059687145	0	0	0.0816219522852399	0.00200996242244167	0	0.000611727693786594	0.000262169011622826	0.0102245914532902	0.000873896705409421	0.00244691077514638	0.0010486760464913	0.0010486760464913	0	0.000349558682163768	0.00550554924407935	0.0486760464913047	0	0	0.0146814646508783	0.00751551166652102	0.00279646945731015	0.000786507034868479	0	0.000611727693786594	0	0.0043694835270471	0	0	0.0263916805033645	0.127326749978153	0	0.000262169011622826	0.00821462903084855	0	0	0	0	0.00445687319758804	0	0.000786507034868479	0.00262169011622826	0	0	0.184130035829765	0
F1544	0	0.000821018062397373	0.0100574712643678	0	0	0.00523399014778325	0	0	0	0	0	0.000718390804597701	0.000718390804597701	0	0	0	0	0.000821018062397373	0.00266830870279146	0.00246305418719212	0.00184729064039409	0.0125205254515599	0.0220648604269294	0.00718390804597701	0	0	0.0345853858784893	0	0.00174466338259442	0.0177545155993432	0.00133415435139573	0	0	0.00061576354679803	0	0	0	0	0.00307881773399015	0.0262725779967159	0	0.0223727422003284	0.000513136288998358	0.00256568144499179	0	0	0.0778940886699507	0.000410509031198686	0.00236042692939245	0.0661945812807882	0	0.00205254515599343	0.00523399014778325	0	0.00194991789819376	0.00564449917898194	0	0.00554187192118227	0	0.00595238095238095	0.0446428571428571	0	0	0.00513136288998358	0	0	0	0	0.0174466338259442	0	0	0	0.00205254515599343	0	0	0.00184729064039409	0.00492610837438424	0.0453612479474548	0	0	0.0235016420361248	0	0	0	0.000821018062397373	0	0.0135467980295567	0	0	0	0	0	0.000923645320197044	0.00482348111658457	0.00266830870279146	0	0	0	0.00451559934318555	0.0410509031198686	0.000923645320197044	0.00246305418719212	0	0.0395114942528736	0	0.0128284072249589	0	0	0	0	0	0.000205254515599343	0.0243226600985222	0.00338669950738916	0.00133415435139573	0	0.00595238095238095	0	0	0	0	0.0153940886699507	0	0.00277093596059113	0.000718390804597701	0.00400246305418719	0.00995484400656814	0.309831691297209	0.00194991789819376
