feature	X1f9695def389854178788b2e4a8792ee	Xd3f1d99ffce8ccadfd2ee75f7b86b0c5	X79a123f051e7c2965a46226b1d95246e	X84311c29ab5cf09c0720c450dc7c1a43	Xd926c5000a193dc8473f190e75b9fcd0	Xd039ffee9e93545befc0b24c6b1adb8a	X630532cabb74720c1204579e6fe741b4	Xd4dcc0bc5f5a6e517ddf472187dbc2e7	Xfc4575c432e5f43c1eaf202f1c5816c4	Xcbd66fa79a3e7fa1c33d29ed908de048	Xa81bf36dba92ea8defbda21f3633f8fe	X860a5e9ee39ccb39131b57de03fb5bf8	X9c19eb9efc671777c92ee43ca21be172	Xfc2bf17d11280ea7e498670124f07400	X1a9b1bbd7d800a46e40664e26298b33b	Xcb645d9e303b0e2d761969abb610d210	X2487d88c9966a6b0e2b87711d51811a8	X4c089330a0f8ccdd7dd92492808e9247	X9f05e4992392a05c38e1c790e07f3e5c	Xa49ea569715664c78018691088f7aaac	X855166a7ea9905b7590e5e5fb7da7866	X5b73138c8555560a7cd45cb7bd7ca6da	X7888dc681f2841bbc77d1f456dbda3d9	X960b9cea75175246a62496526868a249	X74fafaec802530941890c1f49dfbf3e4	X9228756628ca33af7e8809e0968c79f8	X6f0b4058c92e83c77533a218739a0e38	Xc43bbd203d077ba15c26090580d64d32	X40f29bc827ddfc03d7fb5b76fb311557	Xc44642d31840ae8b6896c0bc0f5a8802	X18f3b811ae49dad2e01b20f5f39d10a7	Xa3d1f4355f204d4d49ad2bea3b801265	X93f6e99ff381954b541d29cc24c2be7c	Xa0ac269acfcd16c66700762ee6340b07	X68ee03666c1dd76a9a1ca298d04bc99e	X8ac938c2111c4dea67b9a99a3f7900bc	X8c3c2cadc6f0966f44b3f2371d81abd3	Xc00514d54b15725f03c323c54796a7c0	X9d7e2f75c0754a3aaf6bf21a479a0046	X1941bdf9450a85f4069a80e526137af7	Xce7e172e3d64bc42dddb2f4aa26e3a03	Xfbbeae3dceada6928b2cdc472f5d9901	X1131f697b19dc061094f3b846b9f66a0	X94adac1e5690b5aef26d6014e471f458	Xc2f27e09022e99cda9f6629948f66252	X2a7ee151e83dbc4a4ac13f84a434c8c7	X3d846e34d0ebbaa6096f5b1e5e8afa03	X194d511e554b455dac7747ef6442339f	X19563b70bb3469c665c888e4685e7f99	X0bc4e35da130d9cb9fc1090c80011153	X988ee95161bcfd6129fddab0fda16d68	X970d6f0c54e1e999cbdcdefc80299e2b	X86b5603a79c587d59312beef52df3409	X9d2a55480c1cd54eacfb0243d4562261	Xf3e1ff3be3a6f13f24666ea97d99cd0b	X9c804f3d76b861e98e017e380f2f04df	X7bf7ea59cac793e65c0bc293eabf44dc	X5fe7ab4157717cdcf56706e5c043b959	X85c51ab58e3beec0355a935d17f0758e	X47837e1a0b06f78d52ce1faf831fec84	X76214bb13d1e7d69ca2f7827e3ac12e2	Xa0f9d2150e3f8419a6ade2e296eafb5f	Xa55f549b9a40506a070a2fb7e8ca0726	X3d514b698192fb4c2a0445c3498b2cfb	X1daf7490935642942f91e007dfefa7e9	X1e10ca4ce57e3019886b4f75360a76fa	Xe52994cd67774b8f72113d04a0b2c493	X77be5efca77e4204775e4e828a1580db	X00dcba6e262a3194c68f52e6af48a071	Xec65ab01e974afdd946f7c025b3ceba5	X7d0ccb9242c92ba67eae0552bf7c6f94	X970c4c927d69ee41accb2c1a29f9a023	Xe8d0f444dc3a43708bc843fd8472b381	X0b3590ab4de6582222af6f3565ceca0c	X269fea3886e14ab0acb08ade901906fd	X278651ccb0f0d07cd2ab0837262dfc39	X84b17f815f1e8767da103f96068901ec	X1300fb2208dcbb54d400995de3bc2eaa	X7ba07d9f4e22c332b04d5646fe2ea051	Xecb427bf4473bf2f3205b06132125d07	Xc5a684b3dfddaa1e68d4563ea771ed15	Xf9fecdd58f0cedd3463e687ffd85ef48	X5c7f516ff4d244a8f63e883a44267f20	Xa965d63a2b3f783b281a48f774847f29	X80a9a51ced500bf3bfbca440e0971948	X0029d1a452fe37b0ff76a9c1da5ccf21	X059d6e79cba765d062053442b8ada21c	X1d25e5714547bb8a8f93b8364d36889e	Xc71265e180d7e06bd350017b893ea44a	X264be41ad2f4137d7cd5fefe393e1b92	X61d6589645d112c45ea0478e6445fa34	X6e373fe39ea68760cf9b2bf171476a55	X182071d231a63cae957730240a214721	Xde021ed367003d69832c2a5461985f38	Xc6b61011752152bbbc32003f5d0c5398	X6ca83bb8d84d22ff21607c96e42f4295	Xdc04cb67b3295173275e20a8a7a3d16a	Xdd887bed9045e6e59c223bf9074e8f71	X7a6db5f059c69a310d7c97e1b488fe74	X96c7cedbae877361d087a8b39206d408	X86486b103104c344caa9a990b454797c	X0b2e7a7da00f71987193e385a9a4a4d1	X57188cc28844564b611d3dd0d6e30de7	X76aa915543cd876d620ebeafeb9fd767	X570cad8230542ad8f2c032a719120bee	Xc6faae06a70c97500e4f329b617e70b7	X9f185911874fb5d5b2623b647359f33b	X4661cd41d2df6a4bf70276894e6cc779	Xe0565865ef72ba498c2938b247ff36dc	X94a45fbb634a4ae23f34d8160d95c8b7	Xf3270b7f9b020567e59ec30f7d15fc14	X9f79ff73dcbc3e304545d60cdbbca33b	X6be7c1afdd690efab2c28453f0d304da	Xa75f6c6ef715f88994d61a440132c65b	X959a41695798ad7798d39740d7e9ae19	X4c8288bfbd76958c0c094d87b97650f8	X4a21bd45b5ff48f40bbcadf6930fc3ee	Xf857e38c09d5f11ed7357057fffcc3a0	X327e928d80b137060bd55c0515d64b2a	Xede2e1cdf233330f3e67603862d90fd5	X2132a94c12039eca49c517950714e48a	X5d1a7a11e80c627fbc98743087f309f0	X64d94620fe0f5db1cd211f24f6a6d659	Xf247c06edb93b0f02277e395b87328aa	Xa9625534f57e5ed4661782588cc20467	Xff241ad98176a2c70cdb70878176ca2e	Xac4a57c0c6ca41f976c5c914e25ed371	X76d6be90e19a660c9a84b35fa31d801c	X1703aefcb845a13faff8f80ea8265820
F1195	0	0	0.030619818792127	0.0153081150206464	0	0	0	0.0696451881875263	0.030619818792127	0.0507911260050012	0	0	0	0	0	0	0	0	0	0	0	0	0.0507911260050012	0	0.0500149911247076	0	0.0707614309230026	0	0	0.0405109633350305	0	0	0	0	0.109176464550209	0	0	0.0507911260050012	0.0450793767618185	0.0661843409497894	0	0	0	0	0.0124988608429946	0	0.109895269936138	0	0	0.0545068387299593	0	0.0265165047315229	0.0423972963397333	0	0	0.0342353361520244	0	0.0467822999829265	0.0330740460359679	0.0405109633350305	0.0586569579264321	0	1.04339534035719	0.0342353361520244	0	0	0	0	0.0442033894491157	0.0176765188096284	0.0176765188096284	0	0.0176765188096284	0	0	0	0.0279512142379806	0.0679366703231802	0	0	0.0924007605796829	0	0	0	0	0	0.0249996748110563	0.0176765188096284	0	0	0	0.0330740460359679	0	0.0249996748110563	0.0853321695867316	0	0	0	0	0.312617509825724	0.0216497895747835	0.0265165047315229	0	0.0707614309230026	0	0.0830011738468001	0	0	0	0.0342353361520244	0	0	0.0492266622570943	0.0385326079437287	0.0537841603067531	0	0.115145663862404	0	0.0153081150206464	0	0	0.0919747224380282	0	0.0364472482730229	0	0	0	0.132063790927503	0
F1256	0	0.07045121569253	0.0784063548919527	0	0.0307268372885668	0.0266091745633186	0	0.271442832469767	0.0250870413401149	0	0	0.0581886434801865	0.0234664706306548	0.0153616053878698	0.0469458761339712	0	0.0266091745633186	0.0779011029368604	0.0307268372885668	0.142379413876603	0.0386673069237994	0.0250870413401149	0.238569874673983	0.0354821575441863	0	0.0307268372885668	0.140972755934356	0.0376354989922216	0.0376354989922216	0.0485948745797415	0.0731983424747098	0	0	0.0354821575441863	0	0	0.0365746507522745	0.0307268372885668	0.0250870413401149	0.182329097867232	0.0823377414240822	0.204829660319719	0.0153616053878698	0	0.0234664706306548	0	0.125119564278745	0.0217254452750135	0.0234664706306548	0.309434438507652	0.0434611533297568	0.110997538093342	0.0763654560505588	0	0.0477774684452171	0	0.0469458761339712	0.0485948745797415	0.0837648651406607	0.0742689428713429	0.111709750297172	0.124801550932338	0	0.0554132320964063	0.0693220994842234	0.0177382865867528	0.0217254452750135	0.0198322673513545	0.0985176863590494	0.0675932997630465	0.0250870413401149	0	0.0892475435441935	0.0250870413401149	0	0.190956404399064	0.0575072954216324	0.0768807195237525	0	0	0.139266517599837	0	0	0.0773925794546053	0	0	0.168838486135035	0.0927245333217753	0.0493987987674758	0	0.0177382865867528	0.210290381443733	0	0.0354821575441863	0	0	0.0177382865867528	0.0319819257752854	0.0870046717030233	0.149486554223762	0	0	0.106253785294457	0.144602373443757	0	0	0	0	0	0	0	0.0443579361745014	0.125753228799631	0.283680322298373	0.0434611533297568	0.0789083981661974	0.127946863938145	0.0365746507522745	0.0250870413401149	0	0	0.0554132320964063	0	0.0842352497242753	0.0153616053878698	0.0509687424785149	0.0250870413401149	0.382025899371293	0.0460993299274095
F1257	0.0257849600676088	0	0.107130617911663	0.176920968704633	0	0	0	0.0682660430656744	0	0.194153074849534	0	0	0	0	0	0	0.0528622042012306	0.0282466347427714	0	0	0	0	0.0502797532819119	0.0475577740098157	0	0	0.0489376318949982	0.0345972223772839	0	0.0774236371871781	0.0502797532819119	0	0.0461367938570039	0	0	0.0305105290117001	0.0489376318949982	0	0.0502797532819119	0.123420955250835	0.0720678626501865	0.108990464755699	0	0.0282466347427714	0	0	0.197634720643106	0	0	0.170278950805972	0	0	0.062131493018309	0	0.113803876478809	0	0.375366879264836	0.0711363336417779	0	0	0	0.310456601811767	0.391273547108262	0.0364694832787183	0.0475577740098157	0.0230622581776528	0.0230622581776528	0.0816207634533634	0	0.0431551036455999	0	0	0.155750667670454	0	0	0.0364694832787183	0	0	0	0	0.0765568377614901	0	0	0	0	0	0	0.131334071263295	0.0528622042012306	0	0	0	0	0.039952089621362	0	0.0163067562944258	0	0	0.0345972223772839	0.163791714261971	0.039952089621362	0.0282466347427714	0	0.283862156288152	0	0.153126690202587	0	0	0	0	0	0.0230622581776528	0	0.0856141120589813	0	0.0886806206896801	0.173435011457684	0	0	0	0	0.0930930982970452	0.0305105290117001	0	0	0	0	0.380984733037799	0
F1262	0	0.041789280303175	0.0753861549413471	0	0	0.0361879436424623	0	0.0973848080662162	0	0	0	0	0.014770978940959	0.0269702834589936	0.037180028831303	0	0	0.0426515232325685	0.0319132178915564	0.0666529524120195	0.041789280303175	0.0190697141706815	0.187143317172715	0.134428125037002	0	0	0.136601175783797	0.0255859471920133	0.0482587905361205	0.109090871966868	0	0	0	0.0170562641004156	0	0.0282870149674461	0.044325839122183	0.0525926294257783	0.068806945411116	0.182310011014121	0	0.210613201154137	0.0225641372329869	0	0	0	0.135247010052095	0.0190697141706815	0.0525926294257783	0.253214875618376	0	0	0.0572369220492575	0	0.0615330763659547	0.0474981854178191	0	0.123598248810853	0.0269702834589936	0.070895925469323	0.102512073618641	0	0.0307519732460393	0	0	0	0.0319132178915564	0	0.0703794557391111	0	0.0241223698445998	0	0	0	0	0.0511886632026863	0.0719178130023873	0.0927677351540914	0	0	0.163877387643688	0	0.0361879436424623	0.0190697141706815	0	0	0.151205049860961	0	0.0768250160220724	0	0	0	0	0.0951039556256661	0.0603366789912207	0	0	0	0	0.268820294186314	0.0915775414795038	0.0255859471920133	0	0	0	0	0	0	0.0295451818720701	0.0400092187229398	0	0	0.201721296526917	0.141631897736846	0	0.0879114285649357	0.106369713407242	0	0	0.0190697141706815	0	0.0853808840905274	0.0241223698445998	0.0552941048189439	0	0.0497452306552413	0	0.688323750108672	0
F1282	0	0.0259624978238317	0.0830035310198164	0	0	0.0499550261093913	0	0	0.0338536189513568	0	0	0	0	0.0164190184764344	0.0142191273728065	0	0	0.0164190184764344	0.0426688909247066	0	0.0217210519075583	0	0.0842181777803344	0	0	0	0.181787150723643	0.0116097384701422	0.0748587245359732	0.0662326194824937	0.0854157148030042	0	0	0	0	0.0284411306373812	0	0	0.0614702860992573	0.0873754945514626	0	0.0955268119888325	0	0	0	0	0	0	0.0563087825024305	0.152178190053801	0	0	0.0766447826678402	0	0.0550964588940998	0.071626856804241	0	0	0	0.080098424280642	0.112797099705403	0.109122994758114	0	0.0385138020635833	0.0677461144479265	0.0164190184764344	0	0.0580800363005976	0.0272300034335647	0	0.0328424653497509	0	0.0426688909247066	0	0	0	0	0.153075124417388	0	0	0	0	0	0	0.0116097384701422	0.0393798316292409	0	0.207701404333384	0	0	0	0	0	0.0328424653497509	0	0	0	0	0	0.471369887570222	0.0625597494899148	0.0506261630457915	0	0.252340746404036	0	0	0	0	0	0.087762251474777	0	0	0	0.0259624978238317	0	0.085018392031761	0.154189184722178	0.0217210519075583	0	0.0164190184764344	0	0.0725648315857655	0.0630974636383177	0.0434523603665891	0.0201095605065385	0.0525883816048551	0.0393798316292409	0.708711310752955	0
F1290	0	0.0291914784583338	0.110926303782735	0	0.0280459588160921	0.0379785588600049	0	0	0	0	0	0	0.0280459588160921	0	0	0.0114484638736385	0	0.0687434129034902	0.051857231548431	0	0.0242877165966553	0	0.0505755015288486	0	0	0	0.195354097241074	0	0.0696931703970838	0.119809284314544	0.0572723738979011	0	0	0.0242877165966553	0	0	0.0268516678012242	0	0.229686952887943	0.0768726422954527	0	0.171412728763537	0.0228984286110834	0	0	0	0.193104928821117	0.0242877165966553	0.0798122904518861	0.423049028566547	0	0	0.0880491235505196	0	0.0388325407735918	0.0663099113020072	0	0.0333831921766895	0.0181022039914369	0.0755780861231356	0.137332000683002	0.0443532819805294	0.0242877165966553	0.0396681784628042	0.0465196411074308	0	0.0140216005732309	0.0140216005732309	0.062219854324908	0	0.0256017809470885	0	0	0	0	0	0.0531081450783907	0.181277869777295	0	0	0	0	0.0140216005732309	0	0.0323860995239727	0	0	0.227609075553867	0	0	0	0	0	0.0537227204461302	0	0	0	0	0.0485897751610043	0.196041221570035	0.0672938086141864	0.0485897751610043	0	0.116733278962402	0.0436073186270765	0	0	0	0	0.0906300956325792	0	0	0.115308479303464	0.0857757308354847	0	0.0181022039914369	0.255675811118557	0	0	0	0	0.210620858412585	0	0.0512203618879138	0.0268516678012242	0.0884223972063514	0.132163253058622	0.515616462909433	0
F1320	0	0.0626605021052401	0.0886735151699681	0.0538239480521849	0	0	0	0.0933161789255989	0.0255670915197918	0	0	0	0.0843347803261523	0	0.0273327960491334	0	0	0.0193260020276206	0	0	0.0216074634537406	0	0.101050298246385	0.117420002743352	0	0	0.14738881157155	0.147067116957261	0.0546860386718974	0.0938180065997063	0.0442931587454128	0	0	0	0	0.0136651217254303	0	0	0.0305599466076647	0.320331879183349	0.121755077956322	0.593885682447643	0.037431052456164	0.0634030617662875	0	0	0.157346243160756	0	0	0.105154206621798	0	0	0.069733055174937	0	0.0453361998061628	0	0.201253079115742	0.0928116696801391	0	0.0641370704592023	0.0502284181334348	0.255474501760735	0.0571947041897684	0.0305599466076647	0.0683767509392786	0	0.0398496397789259	0	0.0603783442508702	0	0	0.149621871776136	0.175084538655003	0	0	0.0386592269296735	0	0.130724904375755	0	0	0.0749146779353054	0	0	0	0	0	0	0	0	0	0.0255670915197918	0.0588079725415917	0	0.0442931587454128	0	0	0	0.0320520414969285	0.18018421957783	0.0886735151699681	0.0736532165668287	0.0483308110910567	0	0.223026768358768	0	0.0320520414969285	0	0	0.0361612689651124	0.0803483433528534	0	0	0.0289912595253734	0.0305599466076647	0.0398496397789259	0	0.113752655057836	0.0492887180564478	0.0216074634537406	0.0289912595253734	0	0.0421298848333987	0.0361612689651124	0	0	0	0	0.258323867967384	0
F1385	0	0.0885038431440155	0.0983002204284524	0	0	0	0.0206916236800933	0.0866615293986336	0	0	0	0	0	0.0273739106186538	0	0	0	0.0179191520422556	0.0179191520422556	0.0760938679048258	0.0670940668235282	0	0.134894688441693	0	0	0	0.108714064856289	0.0426667754921243	0.0603582686208025	0.0621103677812966	0.0527742258656624	0	0	0	0	0	0.0594629591799736	0	0.0358440610881698	0.0507020238296614	0.0815475428794985	0.200054123016073	0	0	0	0	0.219748550392034	0	0.0621103677812966	0.172089581736345	0	0.0273739106186538	0.0327198330899739	0	0.0753846522829599	0	0	0.0694526861956402	0.0621103677812966	0.0507020238296614	0.0253428643908225	0.104154917302961	0.0387173934867207	0.0646499899731783	0.0358440610881698	0	0	0.0603582686208025	0.0387173934867207	0	0	0	0.305447237870987	0	0	0.0462810957550144	0.0400770253413779	0.116385738562366	0.0273739106186538	0	0.113568577299267	0	0	0.173982604369567	0	0	0.150120212686777	0.0788674682290953	0	0	0	0.0854114723224293	0.0310402050927465	0.0426667754921243	0	0	0	0.0273739106186538	0.0474248582212109	0.0547683602993109	0.045108426408905	0.045108426408905	0	0.186425203679337	0.0547683602993109	0	0	0	0	0	0	0	0.235803838900287	0.132054761364869	0.0753846522829599	0.107215565777671	0.245966773161421	0	0	0.0179191520422556	0	0.216455621047345	0.0273739106186538	0.179242001746348	0.0387173934867207	0.0273739106186538	0	0.55505479404458	0
F1413	0.0229004299596386	0.122190023574447	0.064132286802652	0	0	0.0591579874114973	0	0.133588962387676	0.0161923415752755	0	0	0	0.0323889306008851	0.0229004299596386	0	0	0	0.0161923415752755	0.0724746182632063	0.0810468682090753	0.0448476366995808	0	0.119266272581714	0	0.0280484102789814	0	0.125751019214418	0.0418188070330464	0.0724746182632063	0.0247356518293415	0.0467582575828711	0	0	0.0337119591984108	0	0	0	0.0247356518293415	0.0512248417417671	0.0606206689431132	0.04581288061937	0.383997930835134	0	0.0295660512966133	0	0	0.145638072566394	0.0295660512966133	0.0323889306008851	0.187356639634119	0	0	0.0418188070330464	0	0.0323889306008851	0	0	0.0561189170481162	0.138467224261077	0.0337119591984108	0.0777306004259645	0.05453619205419	0.0852698528617606	0.0310095881591443	0.0161923415752755	0	0	0	0.0907591399119172	0	0.0310095881591443	0.0247356518293415	0.219391222574822	0	0	0.0418188070330464	0.144108727594277	0.0280484102789814	0	0	0.121101727854277	0.0295660512966133	0.0229004299596386	0.120003758397718	0	0	0.289732159928166	0.0448476366995808	0	0.0247356518293415	0.0161923415752755	0.101289832470818	0.0295660512966133	0.0494864544554979	0.0323889306008851	0.0323889306008851	0	0.018697577922902	0.0742676424004135	0.222456737927595	0	0	0.121465555061749	0.0868010088532293	0.0529063332625618	0.0280484102789814	0	0.0247356518293415	0	0.0661503025579661	0	0	0.163178364325442	0.364870947398993	0	0.0161923415752755	0.0907591399119172	0	0	0	0	0.066809506966235	0	0.0280484102789814	0.0512248417417671	0	0	0.443500308074808	0
F1544	0	0.0286573350305894	0.100455815554857	0	0	0.0724095799960145	0	0	0	0	0	0.0268060235579397	0.0268060235579397	0	0	0	0	0.0286573350305894	0.0516786742909027	0.0496495625340055	0.0429933629371718	0.112129976991153	0.149094210954515	0.0848597496352349	0	0	0.187060483180878	0	0.041781322914854	0.133643542049858	0.036534204473991	0	0	0.0248171307078357	0	0	0	0	0.0555156071645305	0.162806450117005	0	0.150138631479066	0.0226544495109341	0.0506742409207794	0	0	0.28285166023405	0.0202624089400828	0.0486033586912214	0.260209573696208	0	0.0453205362852947	0.0724095799960145	0	0.0441722380138435	0.0752007406209222	0	0.0745126817126206	0	0.0772284200866342	0.212893098926579	0	0	0.0716949367205228	0	0	0	0	0.132472828583125	0	0	0	0.0453205362852947	0	0	0.0429933629371718	0.0702439929197785	0.214625772479181	0	0	0.153909370133466	0	0	0	0.0286573350305894	0	0.116655114730456	0	0	0	0	0	0.0303962141380296	0.0695072402902852	0.0516786742909027	0	0	0	0.0672488857830111	0.204022698035659	0.0303962141380296	0.0496495625340055	0	0.20010780321813	0	0.113506130557206	0	0	0	0	0	0.0143271965253346	0.156596475457305	0.0582282549341319	0.036534204473991	0	0.0772284200866342	0	0	0	0	0.124393473938361	0	0.0526640210360253	0.0268060235579397	0.0633073012053825	0.0999402496009955	0.590318043539998	0.0441722380138435
